symbol,tvlUsd,apy,pools,largest_pool_id,largest_pool_tvl,largest_pool_pct_of_tvl
STETH,23486375374,0.026812099026652114,18,747c1d2a-c668-4682-b9f9-296708a3dd90,23343461123,99.39150146106321
WEETH,11697415279,0.02162299595073058,55,46bd2bdf-6d92-4066-b482-e885ee172264,6250222218,53.43250683098194
WBTC,7084373652,0.0005740824214691491,132,7e382157-b1bc-406d-b17b-facba43b716e,4182358678,59.03639310186966
WSTETH,6945164662,0.0006932016908355628,121,e6435aae-cbe9-4d26-ab2c-a4d533db9972,2966228157,42.70925602713954
WBETH,6038513881,0.025876148479411238,7,80b8bf92-b953-4c20-98ea-c9653ef2bb98,5492332610,90.95503824676892
WETH,4634465973,0.008191596390875279,190,51d2f8d4-1fb5-4f6b-938b-e9cd17ca1ceb,1257837791,27.140943494418877
RETH,3645499661,0.025318999511056976,30,d4b3c522-6127-4b89-bedf-83641cdcd2eb,3437445790,94.2928572117072
JITOSOL,3610488043,0.07196358447752926,3,0e7d0722-9054-4907-8593-567b353c0900,3243721212,89.84162731930144
CBBTC,3449070598,0.00047273487797665556,56,b1986007-81f3-4150-9565-94d5a4066ce4,1435517339,41.62041043266578
SUSDE,3290013754,0.06400953093967256,34,66985a81-9c51-46ca-9977-42b4fe7bc6df,2644233262,80.37149567490836
RSETH,2424437695,0.015876127079679107,20,33c732f6-a78d-41da-af5b-ccd9fa5e52d5,1299402847,53.59605032044348
SUSDS,2279325192,0.04423466094710737,13,d8c4eff5-c8a9-46fc-a888-057c4c668e72,2239742001,98.26338114723913
ETH,2232589768,0.007146767635554802,87,ae255d3e-5f02-4edd-aab3-ba43eead3a06,1361519060,60.98384394279819
TRX,1901625571,0.000522022711489243,4,90d3f42a-8700-4b9f-baa8-090a3c4322c9,1900397227,99.93540558042906
USDC,1598831433,0.051580412326315966,315,aa70268e-4b52-42bf-a116-608b370f9501,377941919,23.638634517638984
BNSOL,1557764609,0.06092197721435653,3,9e709e57-84eb-496b-82ce-2e8f6a17db1b,1557645853,99.99237651187389
USDT,1556769053,0.03995072062529871,159,f981a304-bb6c-45b8-b0c5-fd2f515ad23a,871055904,55.95280188293928
EZETH,1437963947,0.02050712004754456,28,e28e32b5-e356-41d9-8dc7-a376ece56619,863740819,60.06693149727488
JUPSOL,1437681505,0.05676948083445499,4,52bd72a7-9e81-4112-abb4-71673e8de9bf,894816580,62.24025118831865
OSETH,1272986907,0.014095087226511826,4,4d01599c-69ae-41a3-bae1-5fab896f04c8,668384975,52.505251336414574
STRX,1111480221,1.8999999999999998e-06,1,31e2bebc-85e6-4974-b2e3-7f24675095cf,1111480221,100.0
