date,STETH,WEETH,WBTC,WSTETH,WBETH,WETH,RETH,JITOSOL,CBBTC,SUSDE,RSETH,SUSDS,BNSOL,USDT,EZETH,JUPSOL,OSETH,MSOL,METH,USDS,DAI,LBTC,ETHX,CBETH
2022-05-03,11074372760.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-04,11744709791.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-05,11008298772.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-06,10974211995.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-07,10736517627.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-08,10375445969.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-09,9406769875.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-10,9506069560.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-11,8714550420.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-12,7857787286.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-13,8459868374.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-14,8307436489.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-15,8869252957.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16,8406513502.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-17,8601108016.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-18,8072321130.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,8305322669.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-20,8110663532.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-21,8093785039.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-22,8299480469.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-23,8130648910.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24,8144177342.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25,8076696769.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-26,7549047867.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-27,7162858310.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-28,7329191226.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-29,7403372675.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-30,8190730072.0,,,,,,,,,,,,,,,,,,,,,,,
2022-05-31,8040565588.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-01,7457563960.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-02,7529727017.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-03,7361895607.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-04,7371970157.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-05,7462010533.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-06,7693058781.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-07,7602537682.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-08,7423014605.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-09,7365761144.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-10,6693572071.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-11,6292245541.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-12,6013418620.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-13,5020855492.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-14,4739191219.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-15,4881295771.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-16,4394576092.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-17,4282944265.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-18,3874088251.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-19,4520906774.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-20,4367053109.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-21,4507593430.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-22,4217562775.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-23,4567417615.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-24,5021163436.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-25,5081069509.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-26,5004523357.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-27,4955876828.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-28,4732321593.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-29,4539445148.0,,,,,,,,,,,,,,,,,,,,,,,
2022-06-30,4210439330.0,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,4359975792.0,,,,,,,,,,,,,,,,,,,,,,,
